代码,收盘价,涨幅%,成交额(万),策略标签,标签数,总分,信号分,趋势分,动量分,流动性分,风险调整,建议动作
600583,7.55,-1.9481,1291321.816,大底突破,1,64.5,18,25,20,6.5,-5,继续观察
600098,7.65,-0.6494,219124.796,大底突破,1,64.1,18,25,20,1.1,0,继续观察
600428,8.28,-1.6627,780737.936,大底突破,1,61.9,18,25,20,3.9,-5,继续观察
601857,12.3,-3.0733,6266539.004,大底突破,1,60.0,18,25,12,10.0,-5,继续观察
600642,9.04,0.1107,251586.729,早埋伏,1,58.3,12,25,20,1.3,0,小仓埋伏
002608,8.28,1.2225,172300.376,早埋伏,1,57.9,12,25,20,0.9,0,小仓埋伏
600589,11.33,-0.7881,2093497.692,空中加油,1,55.0,13,17,20,10.0,-5,继续观察
002440,14.03,-1.7507,903373.609,空中加油,1,54.5,13,17,20,4.5,0,继续观察
000968,9.77,-3.363,797600.503,大底突破,1,54.0,18,25,12,4.0,-5,继续观察
002911,15.15,-2.7599,312911.524,大底突破,1,51.6,18,25,12,1.6,-5,继续观察
300069,19.75,2.9182,114699.207,三连阳,1,51.6,14,17,20,0.6,0,继续观察
603968,14.75,5.7348,242932.231,空中加油,1,51.2,13,17,20,1.2,0,继续观察
002457,13.58,-0.4399,153765.148,空中加油,1,50.8,13,17,20,0.8,0,继续观察
600236,10.95,-5.7659,654772.196,大底突破,1,47.3,18,25,6,3.3,-5,谨慎回避
300196,19.06,-0.884,287649.451,空中加油,1,46.4,13,17,20,1.4,-5,谨慎回避
605006,9.33,-1.686,199155.894,空中加油,1,46.0,13,17,20,1.0,-5,谨慎回避
002479,5.6,2.5641,109471.24,早埋伏,1,45.5,12,25,8,0.5,0,谨慎回避
600784,7.4,1.3699,83421.132,早埋伏,1,45.4,12,25,8,0.4,0,谨慎回避
600352,15.84,0.1898,1027312.816,空中加油,1,43.1,13,17,8,5.1,0,谨慎回避
603616,7.45,3.9052,364800.907,空中加油,1,40.8,13,17,14,1.8,-5,谨慎回避
002106,12.22,-1.7685,259309.022,早埋伏,1,38.3,12,17,8,1.3,0,谨慎回避
002227,10.77,10.0102,97888.583,三连阳,1,21.5,14,9,4,0.5,-6,谨慎回避
